isErrorWideL,shotDirection,isSlice,secondServeZone,pointNumber,clientTeam,Event,secondServeXCoord,firstServeYCoord,firstServeIn,lineupPosition,shotInRally,Date,Surface,firstServeZone,isErrorLong,isErrorNet,player1Hand,player2Hand,shotLocationY,isExcitingPoint,isOverhead,pointScore,setScore,isApproach,player1Name,matchDetails,gameScore,serverName,isDropshot,shotFhBh,isBreakPoint,isLob,pointStartTime,shotLocationX,isLet,isVolley,isErrorWideR,matchVenue,pointEndTime,firstServeXCoord,isAce,serverFarNear,secondServeIn,Division,side,Notes,atNetPlayer2,shotContactX,atNetPlayer1,isPointEnd,Round,isPointStart,player2Name,isWinner,opponentTeam,secondServeYCoord,shotContactY,player1,player2,returnerName,shotHitBy,pointWonBy
,Crosscourt,,,5,,,,,,,8.0,,,,,,,,-265.0,,,30-30,0-0,,,,0-0,Rudy Quan,,Backhand,,,265364,-52.0,,,,,,,,Near,,,Ad,,,100.0,,,,,,,,,457.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Down the Line,,,5,,,,,,,9.0,,,,,,,,410.0,,,30-30,0-0,,,,0-0,Rudy Quan,,Forehand,,,266832,-110.0,,,,,,,,Near,,,Ad,,,-124.0,,,,,,,,,-519.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
1.0,Crosscourt,,,5,,,,,,,10.0,,,,,,,,-371.0,,,30-30,0-0,,,,0-0,Rudy Quan,,Forehand,,,268359,199.0,,,,,269670.0,,,Near,,,Deuce,,,-137.0,,1.0,,,,,,,492.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,,,,6,,,,211.0,1.0,,1.0,,,Body,,,,,,,,40-30,0-0,,,,0-0,Rudy Quan,,,,,291240,,,,,,,84.0,,Near,,,Ad,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,6,,,,,,,2.0,,,,,,,,-289.0,,,40-30,0-0,,,,0-0,Rudy Quan,,Backhand,,,293360,79.0,,,,,,,,Near,,,Ad,,,132.0,,,,,,,,,513.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Down the Line,,,6,,,,,,,3.0,,,,,,,,418.0,,,40-30,0-0,,,,0-0,Rudy Quan,,Forehand,,,295028,68.0,,,,,,,,Near,,,Deuce,,,103.0,,,,,,,,,-529.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,6,,,,,,,4.0,,,,,,,,-278.0,,,40-30,0-0,,,,0-0,Rudy Quan,,Backhand,,,296643,-137.0,,,,,,,,Near,,,Ad,,,84.0,,,,,,,,,500.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,6,,,,,,,5.0,,,,,,,,415.0,,,40-30,0-0,,,,0-0,Rudy Quan,,Backhand,,,297943,10.0,,,,,,,,Near,,,Ad,,,-185.0,,,,,,,,,-516.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,6,,,,,,,6.0,,,,,1.0,,,5.0,,,40-30,0-0,,,,0-0,Rudy Quan,,Forehand,,,299420,-124.0,,,,,300743.0,,,Near,,,Ad,,,23.0,,1.0,,,,,,,503.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,,,,7,,,,211.0,1.0,,1.0,,,T,,,,,,,,0-0,0-0,,,,1-0,Aristotelis Thanos,,,,,364413,,,,,,,-38.0,,Near,,,Deuce,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,,,7,,,,,,,2.0,,,,,,,,-209.0,,,0-0,0-0,,,,1-0,Aristotelis Thanos,,Backhand,,,367859,-54.0,,,,,,,,Near,,,Deuce,,,-76.0,,,,,,,,,511.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Aristotelis Thanos
,Down the Line,1.0,,7,,,,,,,3.0,,,,,,,,66.0,,,0-0,0-0,,,,1-0,Aristotelis Thanos,1.0,Forehand,,,369067,-124.0,,,,,,,,Near,,,Ad,,1.0,-73.0,,,,,,,,,-391.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
